id,name,tool_type,category,source_domain,source_url,verified_on,verification_status,official_plan_name,billing_axis,free_core_available,price_original,price_original_currency,price_original_period,price_usd,price_eur,annual_price_eur,price_compare_monthly_eur,price_source_text,notes_short,additional_tiers_json,paid_addons_json,monthly_public_price_original,currency,monthly_public_price_eur,annual_equivalent_public_price_eur,compare_price_monthly_eur,source_reference,price_compare_note
chatgpt,ChatGPT,ia,ai-general,openai.com,https://openai.com/chatgpt/pricing/,2026-03-13,official_explicit,Plus,individual,True,20.0,USD,monthly_public,20.0,17.32,,17.32,derived from V7 pricing_v3,Inherited from V7; review if this tool becomes central to recommendations.,[],[],20.0,USD,17.32,,17.32,derived from V7 pricing_v3,compare_price_monthly_eur is the normalized monthly comparison price in EUR
claude,Claude,ia,ai-general,anthropic.com,https://www.anthropic.com/news/claude-pro,2026-03-13,official_explicit,Pro,individual,True,20.0,USD,monthly_public,20.0,17.32,14.43,14.43,derived from V7 pricing_v3,Inherited from V7; review if this tool becomes central to recommendations.,[],[],20.0,USD,17.32,14.43,14.43,derived from V7 pricing_v3,compare_price_monthly_eur is the normalized monthly comparison price in EUR
notion,Notion,satellite,organization,notion.so,https://www.notion.so/releases/2024-06-26,2026-03-13,official_explicit,Plus,seat,True,11.5,EUR,monthly_public,,11.5,9.5,9.5,derived from V7 pricing_v3,Inherited from V7; review if this tool becomes central to recommendations.,[],[],11.5,EUR,11.5,9.5,9.5,derived from V7 pricing_v3,compare_price_monthly_eur is the normalized monthly comparison price in EUR
calendly,Calendly,gestion,communication,calendly.com,https://calendly.com/pricing,2026-03-13,official_explicit,Standard,seat,True,10.0,USD,monthly_public,10.0,,8.66,8.66,Standard $10/seat/mo yearly; Teams $16/seat/mo yearly,"Bonne base de comparaison pour solo/pro. Pour Teams, remonter au tarif $16/seat/mo annuel.","[{""name"": ""Teams"", ""monthly_public_price_eur"": 13.86, ""annual_equivalent_public_price_eur"": 13.86}]",[],10.0,USD,,8.66,8.66,Standard $10/seat/mo yearly; Teams $16/seat/mo yearly,compare_price_monthly_eur is the normalized monthly comparison price in EUR
loom,Loom,gestion,communication,loom.com,https://www.loom.com/pricing,2026-03-13,official_explicit,Business,seat,True,18.0,USD,monthly_public,18.0,15.59,,15.59,Business $18/user/mo; Business + AI $24/user/mo,Correction V9 : la V8 gardait un prix annualisé obsolète. La page pricing publique affiche Business à $18 et Business + AI à $24 par utilisateur / mois.,"[{""name"": ""Business + AI"", ""monthly_public_price_eur"": 20.78, ""annual_equivalent_public_price_eur"": null}]",[],18.0,USD,15.59,,15.59,Business $18/user/mo; Business + AI $24/user/mo,compare_price_monthly_eur is the normalized monthly comparison price in EUR
canva,Canva,satellite,creation,canva.com,https://www.canva.com/en/pricing/,2026-03-13,official_contextual,Canva Pro,individual,True,13.0,USD,monthly_public,13.0,11.26,,11.26,derived from V7 pricing_v3,Inherited from V7; review if this tool becomes central to recommendations.,[],[],13.0,USD,11.26,,11.26,derived from V7 pricing_v3,compare_price_monthly_eur is the normalized monthly comparison price in EUR
grammarly,Grammarly,ia,creation,grammarly.com,https://www.grammarly.com/pro,2026-03-13,official_explicit,Pro,seat,True,30.0,USD,monthly_public,30.0,30.0,12.0,12.0,EUR pricing visible on plans page,Mieux vaut comparer Grammarly en EUR direct qu’en conversion USD. La V7 le sous-évaluait pour un utilisateur européen.,[],[],30.0,USD,30.0,12.0,12.0,EUR pricing visible on plans page,compare_price_monthly_eur is the normalized monthly comparison price in EUR
stripe,Stripe,gestion,finance,stripe.com,https://stripe.com/pricing,2026-03-13,official_explicit,Standard processing,transaction_volume,True,0.0,USD,monthly_public,0.0,0.0,,0.0,derived from V7 pricing_v3,Inherited from V7; review if this tool becomes central to recommendations.,[],[],0.0,USD,0.0,,0.0,derived from V7 pricing_v3,compare_price_monthly_eur is the normalized monthly comparison price in EUR
perplexity,Perplexity,ia,ai-general,perplexity.ai,https://www.perplexity.ai/help-center/en/articles/12167980-using-the-connector-for-slack,2026-03-13,official_explicit,Pro,individual,True,20.0,USD,monthly_public,20.0,17.32,14.43,14.43,derived from V7 pricing_v3,Inherited from V7; review if this tool becomes central to recommendations.,[],[],20.0,USD,17.32,14.43,14.43,derived from V7 pricing_v3,compare_price_monthly_eur is the normalized monthly comparison price in EUR
tally,Tally,satellite,communication,tally.so,https://tally.so/pricing,2026-03-13,official_explicit,Free,workspace,True,0.0,USD,monthly_public,0.0,0.0,0.0,0.0,free core + Tally Pro pricing help article,Ne pas comparer Tally comme un SaaS à 29$/mois par défaut. Le produit a un cœur gratuit très large; le passage au paid dépend de besoins précis.,"[{""name"": ""Pro"", ""monthly_public_price_eur"": 25.11, ""annual_equivalent_public_price_eur"": 20.93}]","[{""name"": ""Pro"", ""monthly_public_price_eur"": 25.11, ""annual_equivalent_public_price_eur"": 20.93}, {""name"": ""Business"", ""monthly_public_price_eur"": 77.08, ""annual_equivalent_public_price_eur"": null}]",0.0,USD,0.0,0.0,0.0,free core + Tally Pro pricing help article,compare_price_monthly_eur is the normalized monthly comparison price in EUR
