id,slug,category,tool_type,quality_9,has_compare_price,has_source_url,signals,bucket,confidence,reason
material-swift,material-swift,prototyping,satellite,7,false,false,"url:github/npm|txt:library|price:0/none",archiver,high,"Librairie/framework dev — hors scope SaaS éditorial"
apexcharts,apexcharts,ui-components,satellite,7,false,false,"cat:ui-components|txt:library|price:0/none",archiver,high,"Librairie/framework dev — hors scope SaaS éditorial"
mantine,mantine,ui-components,satellite,7,false,false,"cat:ui-components|txt:library|price:0/none",archiver,high,"Librairie/framework dev — hors scope SaaS éditorial"
solid-js,solid-js,ui-components,core,7,false,false,"cat:ui-components|txt:library|price:0/none",archiver,high,"Librairie/framework dev — hors scope SaaS éditorial"
greensock,greensock,ui-components,satellite,7,false,false,"cat:ui-components|txt:library|price:0/none",archiver,high,"Librairie/framework dev — hors scope SaaS éditorial"
alpinejs,alpinejs,ui-components,satellite,7,false,false,"cat:ui-components|txt:library|price:0/none",archiver,high,"Librairie/framework dev — hors scope SaaS éditorial"
angular-material,angular-material,ui-components,satellite,7,false,false,"cat:ui-components|txt:library|price:0/none",archiver,high,"Librairie/framework dev — hors scope SaaS éditorial"
react-router,react-router,ui-components,satellite,7,false,false,"cat:ui-components|txt:library|price:0/none",archiver,high,"Librairie/framework dev — hors scope SaaS éditorial"
emotion,emotion,ui-components,satellite,7,false,false,"cat:ui-components|txt:library|price:0/none",archiver,high,"Librairie/framework dev — hors scope SaaS éditorial"
relay,relay,ui-components,satellite,7,false,false,"cat:ui-components|txt:library|price:0/none",archiver,high,"Librairie/framework dev — hors scope SaaS éditorial"
knockout,knockout,ui-components,satellite,7,false,false,"cat:ui-components|txt:library|price:0/none",archiver,high,"Librairie/framework dev — hors scope SaaS éditorial"
highcharts,highcharts,ui-components,satellite,7,false,false,"cat:ui-components|txt:library",archiver,high,"Librairie/framework dev — hors scope SaaS éditorial"
react,react,ui-components,core,7,false,false,"cat:ui-components|txt:library|price:0/none",archiver,high,"Librairie/framework dev — hors scope SaaS éditorial"
jquery,jquery,ui-components,satellite,7,false,false,"cat:ui-components|txt:library|price:0/none",archiver,high,"Librairie/framework dev — hors scope SaaS éditorial"
d3js,d3js,ui-components,satellite,7,false,false,"cat:ui-components|txt:library|price:0/none",archiver,high,"Librairie/framework dev — hors scope SaaS éditorial"
chartjs,chartjs,ui-components,satellite,7,false,false,"cat:ui-components|txt:library|price:0/none",archiver,high,"Librairie/framework dev — hors scope SaaS éditorial"
styled-components,styled-components,ui-components,satellite,7,false,false,"cat:ui-components|txt:library|price:0/none",archiver,high,"Librairie/framework dev — hors scope SaaS éditorial"
svelte,svelte,ui-components,core,7,false,false,"cat:ui-components|txt:library|price:0/none",archiver,high,"Librairie/framework dev — hors scope SaaS éditorial"
formik,formik,ui-components,satellite,7,false,false,"cat:ui-components|txt:library|price:0/none",archiver,high,"Librairie/framework dev — hors scope SaaS éditorial"
tailwind-css,tailwind-css,ui-components,satellite,6,false,false,"cat:ui-components|txt:library|price:0/none",archiver,high,"Librairie/framework dev — hors scope SaaS éditorial"
shine,shine,finance,metier,9,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
dynamic-mockups,dynamic-mockups,design-tools,satellite,9,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
spline,spline,design-tools,satellite,9,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
tella,tella,creation,satellite,9,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
mixpanel,mixpanel,analytics,specialise,9,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
youtube-studio,youtube-studio,communication,specialise,9,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
streamlabs,streamlabs,communication,specialise,9,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
streamelements,streamelements,communication,specialise,9,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
elgato-stream-deck,elgato-stream-deck,communication,specialise,9,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
twitch,twitch,communication,specialise,9,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
helpscout,helpscout,communication,specialise,9,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
x-particles,x-particles,design-tools,plugin,9,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
auto-rig-pro,auto-rig-pro,design-tools,plugin,9,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
hard-ops-boxcutter,hard-ops-boxcutter,design-tools,plugin,9,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
itsdart,itsdart,project-management,metier,9,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
switch-monster,switch-monster,analytics,metier,9,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
taskade,taskade,project-management,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
superwhisper,superwhisper,productivity-tracking,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
fillout,fillout,nocode-web,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
v0-vercel,v0-vercel,design-tools,ia,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
grok,grok,ai-general,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
google-ai-studio,google-ai-studio,ai-general,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
contra,contra,project-management,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
typotab,typotab,ai-general,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
magic-patterns,magic-patterns,design-tools,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
motion-app,motion-app,organization,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
hyperbrowser,hyperbrowser,automation,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
flowmapp,flowmapp,design-tools,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
postsyncer,postsyncer,creation,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
crayo-ai,crayo-ai,creation,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
rork,rork,nocode-web,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
emergent,emergent,nocode-web,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
brandcrowd,brandcrowd,design-tools,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
monday,monday,project-management,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
windsurf,windsurf,ai-general,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
opus-clip,opus-clip,creation,ia,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
fathom,fathom,ai-general,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
whimsical,whimsical,design-tools,satellite,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
screen-studio,screen-studio,creation,satellite,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
granola,granola,ai-general,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
jotform,jotform,nocode-web,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
fellow,fellow,ai-general,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
scribe,scribe,organization,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
superlist,superlist,organization,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
gumloop,gumloop,automation,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
dub,dub,nocode-web,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
chatbase,chatbase,communication,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
milanote,milanote,design-tools,satellite,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
zcal,zcal,communication,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
paddle,paddle,finance,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
quickbooks-online,quickbooks-online,finance,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
invoicely,invoicely,finance,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
namecheap,namecheap,storage,,8,true,true,"",migrer,high,"Fiche riche + pricing sourcé + scope SaaS"
